"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS"	"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS"	"32/423"	"314/10646"	9.0465382808015e-07	5.14007856863722e-05	4.54491157647922e-05	"CAMK2A/PPP1R1B/CAMK4/GPR37/ADCY8/RGS4/GRM3/GRM4/PRKCG/PDE1A/SSTR2/PDYN/PENK/NPY/RGS8/SST/OPRM1/ADRA2A/OPRD1/CXCL2/GRM2/ADRA2C/RGR/PNOC/NPY1R/CHRM4/PTGDR2/HTR5A/OPRK1/SSTR3/CHRM2/PTGER3"	32
"M1"	"REACTOME_LONG_TERM_POTENTIATION"	"REACTOME_LONG_TERM_POTENTIATION"	"8/423"	"23/10646"	1.6851534010842e-06	8.77684063064685e-05	7.76057487341406e-05	"CAMK2A/NRGN/GRIN1/GRIN2A/NEFL/LRRC7/GRIN2C/NRG1"	8
"M1"	"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"	"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"	"23/423"	"198/10646"	3.66400648305572e-06	0.000172912869001663	0.000152891378906734	"GPR37/SSTR2/EDN3/PDYN/PENK/NTSR2/CCK/NPY/SST/OPRM1/OPRD1/CXCL2/TACR1/NPFFR1/CCKBR/TAC1/PNOC/NPY1R/TAC3/NTSR1/RXFP1/OPRK1/SSTR3"	23
"M1"	"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE"	"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE"	"11/423"	"51/10646"	3.87324826563726e-06	0.000172912869001663	0.000152891378906734	"SYT1/SLC17A7/SYN2/RIMS1/STX1A/CPLX1/GAD2/SLC1A6/SLC32A1/SLC6A13/GLS2"	11
"M1"	"REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION"	"REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION"	"7/423"	"19/10646"	4.95063149279705e-06	0.000206276312199877	0.000182391686576733	"SYT1/RIMS1/STX1A/CPLX1/GAD2/SLC32A1/SLC6A13"	7
"M1"	"REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION"	"REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION"	"7/423"	"21/10646"	1.06608806848605e-05	0.000416440651752364	0.000368221207865249	"CAMK2A/GRIN1/GRIN2A/NEFL/CAMK4/LRRC7/GRIN2C"	7
"M1"	"REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE"	"REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE"	"7/423"	"24/10646"	2.86080106627602e-05	0.0010517650978956	0.000929981770770844	"SYT1/SLC17A7/RIMS1/STX1A/CPLX1/SLC1A6/GLS2"	7
"M1"	"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES"	"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES"	"13/423"	"87/10646"	3.58933809982065e-05	0.0012053485738109	0.00106578189684333	"SYT1/SHANK1/GRIN1/GRIN2A/SYT7/SHANK2/DLGAP3/STX1A/SYT12/SYT2/GRIN2C/GRM1/DLGAP2"	13
"M1"	"REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS"	"REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS"	"5/423"	"11/10646"	3.66425966438515e-05	0.0012053485738109	0.00106578189684333	"CHRNB2/CHRNA7/CHRNA3/CHRNA9/CHRNA2"	5
"M1"	"REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT"	"REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT"	"24/423"	"249/10646"	5.32848987605095e-05	0.00166515308626592	0.00147234588680355	"SLC17A7/SLC12A5/SLC8A2/SLC14A1/SLCO1A2/SLC24A4/SLC13A3/SLC13A5/SLC7A10/SLC1A6/SLC30A3/SLC45A3/SLC6A15/SLC32A1/SLC6A13/SLC6A7/SLC5A11/SLC17A6/SLC13A4/SLC17A8/SLC22A6/SLC6A5/SLC27A6/LCN12"	24
"M1"	"REACTOME_SEROTONIN_RECEPTORS"	"REACTOME_SEROTONIN_RECEPTORS"	"5/423"	"12/10646"	6.07707576039588e-05	0.00180865350011782	0.00159923046326207	"HTR2A/HTR1A/HTR5A/HTR4/HTR2C"	5
"M1"	"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS"	"REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS"	"13/423"	"94/10646"	8.20918209993321e-05	0.00233215400566284	0.00206211512079662	"CAMK2A/NRGN/GRIN1/GRIN2A/NEFL/CAMK4/ADCY8/RASGRF1/LRRC7/GRIN2C/NRG1/GRIN3A/TUBA8"	13
"M1"	"REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION"	"REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION"	"6/423"	"21/10646"	0.000123889332923315	0.0033665579598727	0.00297674598557165	"CAMK2A/GRIN1/GRIN2A/NEFL/LRRC7/GRIN2C"	6
"M1"	"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS"	"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS"	"21/423"	"216/10646"	0.000137430971022013	0.00345646106148281	0.00305623925436375	"EGFR/RGS4/ADRA1A/RASGRP1/EDN3/GRM1/NTSR2/CCK/HTR2A/TACR1/NPFFR1/CCKBR/TAC1/TAC3/NTSR1/ADRA1D/GPR68/GPR143/HTR2C/CHRM5/DGKK"	21
"M1"	"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS"	"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS"	"5/423"	"14/10646"	0.000143788780157685	0.00345646106148281	0.00305623925436375	"CHRNB2/CHRNA7/CHRNA3/CHRNA9/CHRNA2"	5
"M1"	"REACTOME_LGI_ADAM_INTERACTIONS"	"REACTOME_LGI_ADAM_INTERACTIONS"	"5/423"	"14/10646"	0.000143788780157685	0.00345646106148281	0.00305623925436375	"LGI1/STX1A/ADAM11/CACNG3/CACNG2"	5
"M1"	"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS"	"REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS"	"8/423"	"43/10646"	0.000247788071981041	0.00573583499956114	0.00507168568382249	"KCNC2/KCNG1/KCNV1/KCNA4/KCNA3/KCNS2/KCNH7/KCNB2"	8
"M1"	"REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS"	"REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS"	"8/423"	"44/10646"	0.000292502813550172	0.00652908065960205	0.00577308184638497	"CAMK2A/GRIN1/GRIN2A/NEFL/LRRC7/GRIN2C/GRIN3A/TUBA8"	8
"M1"	"REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS"	"REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS"	"4/423"	"10/10646"	0.000426362913995815	0.00918885590508222	0.00812488311607269	"SYT1/SV2B/STX1A/SYT2"	4
"M1"	"REACTOME_CARDIAC_CONDUCTION"	"REACTOME_CARDIAC_CONDUCTION"	"14/423"	"127/10646"	0.000506228035399998	0.0105464174041666	0.00932525328368417	"ATP1A3/CAMK2A/ATP2B2/RYR3/SCN3B/SLC8A2/RYR2/SLN/FGF13/ATP2B3/KCNK9/KCNJ12/KCNJ4/KCNK3"	14
"M1"	"REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE"	"REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE"	"5/423"	"18/10646"	0.000539374547258613	0.0108744868398914	0.00961533573211449	"SYT1/SYN2/RIMS1/STX1A/CPLX1"	5
"M1"	"REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS"	"REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS"	"11/423"	"86/10646"	0.000570177083939563	0.0111362711706946	0.00984680819303522	"SLC14A1/SLC13A3/SLC13A5/SLC30A3/SLC6A15/SLC6A13/SLC6A7/SLC5A11/SLC13A4/SLC22A6/SLC6A5"	11
"M1"	"REACTOME_MUSCLE_CONTRACTION"	"REACTOME_MUSCLE_CONTRACTION"	"18/423"	"195/10646"	0.000757107807484438	0.0143391630205386	0.0126788388813183	"ATP1A3/CAMK2A/ATP2B2/RYR3/SCN3B/SLC8A2/RYR2/SLN/FGF13/MYBPC1/ATP2B3/KCNK9/MYH11/KCNJ12/KCNJ4/KCNK3/TRIM72/TNNT1"	18
"M1"	"REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR"	"REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR"	"5/423"	"20/10646"	0.000913934473354036	0.0168002660543021	0.0148549720901198	"CAMK2A/GRIN1/NEFL/RASGRF1/LRRC7"	5
"M1"	"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE"	"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE"	"4/423"	"12/10646"	0.000943204978493426	0.0168429460445255	0.0148927101867383	"CA12/CA4/CA14/CA9"	4
"M1"	"REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION"	"REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION"	"5/423"	"21/10646"	0.00116082357973864	0.0194553300574405	0.0172026076297369	"LGR6/RSPO2/RNF43/RSPO4/RSPO3"	5
"M1"	"REACTOME_HS_GAG_BIOSYNTHESIS"	"REACTOME_HS_GAG_BIOSYNTHESIS"	"6/423"	"31/10646"	0.00120005297394453	0.0194553300574405	0.0172026076297369	"HS3ST4/HS3ST3B1/HS3ST2/HS3ST3A1/HS3ST5/NDST3"	6
"M1"	"REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS"	"REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS"	"6/423"	"31/10646"	0.00120005297394453	0.0194553300574405	0.0172026076297369	"CAMK2A/PRKCG/CACNG3/CACNG2/GRIP2/GRIP1"	6
"M1"	"REACTOME_ION_HOMEOSTASIS"	"REACTOME_ION_HOMEOSTASIS"	"8/423"	"54/10646"	0.00121401259558429	0.0194553300574405	0.0172026076297369	"ATP1A3/CAMK2A/ATP2B2/RYR3/SLC8A2/RYR2/SLN/ATP2B3"	8
"M1"	"REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS"	"REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS"	"6/423"	"33/10646"	0.00168807152716617	0.0263761176119714	0.0233220408358484	"CDH18/CDH8/CDH7/CDH15/CDH12/CDH9"	6
"M1"	"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE"	"REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE"	"5/423"	"23/10646"	0.00179780650675802	0.0274055869932625	0.0242323084993058	"SYT1/SYN2/RIMS1/STX1A/CPLX1"	5
"M1"	"REACTOME_SIGNALING_BY_ERBB4"	"REACTOME_SIGNALING_BY_ERBB4"	"8/423"	"58/10646"	0.00194784249293704	0.0289857513829917	0.0256295064860137	"EGFR/GABRB2/GABRA1/ADAP1/GABRG2/GABRG3/NRG1/PGR"	8
"M1"	"REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS"	"REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS"	"4/423"	"15/10646"	0.00236558042522821	0.0343834364132007	0.0304021964074617	"SFRP1/DKK1/DKK2/WNT9A"	4
"M1"	"REACTOME_SENSORY_PROCESSING_OF_SOUND"	"REACTOME_SENSORY_PROCESSING_OF_SOUND"	"9/423"	"77/10646"	0.00333653884230403	0.0473940176463641	0.0419062892873114	"ATP2B2/STX1A/KCNN2/OTOF/TMC1/CHRNA9/SLC17A8/STRC/ESPN"	9
"M1"	"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE"	"REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE"	"4/423"	"17/10646"	0.00387271177869037	0.052618366558293	0.0465257135883854	"SYT1/RIMS1/STX1A/CPLX1"	4
"M1"	"REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS"	"REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS"	"4/423"	"17/10646"	0.00387271177869037	0.052618366558293	0.0465257135883854	"CNTFR/CRLF1/IL31RA/IL11"	4
"M1"	"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING"	"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING"	"5/423"	"28/10646"	0.00446032456894935	0.0593128267147521	0.0524450257267281	"CAMK2A/GRIN1/NEFL/RASGRF1/LRRC7"	5
"M1"	"REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS"	"REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS"	"4/423"	"18/10646"	0.00482509384481371	0.0615445643471137	0.0544183516332374	"GRIN2A/MET/OPRM1/OPRK1"	4
"M1"	"REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE"	"REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE"	"4/423"	"18/10646"	0.00482509384481371	0.0615445643471137	0.0544183516332374	"SYT1/RIMS1/STX1A/CPLX1"	4
"M1"	"REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE"	"REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE"	"5/423"	"29/10646"	0.00521705042447909	0.0652131303059886	0.0576621362705583	"MYH11/EPHA7/EFNA5/EPHA6/EPHA10"	5
"M1"	"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM"	"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM"	"7/423"	"55/10646"	0.00581097733225132	0.068930767426444	0.0609493101454873	"HS3ST4/HS3ST3B1/HPSE2/HS3ST2/HS3ST3A1/HS3ST5/NDST3"	7
"M1"	"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS"	"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS"	"4/423"	"19/10646"	0.00592289608565527	0.068930767426444	0.0609493101454873	"SLC6A15/SLC6A13/SLC6A7/SLC6A5"	4
"M1"	"REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL"	"REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL"	"4/423"	"19/10646"	0.00592289608565527	0.068930767426444	0.0609493101454873	"KCNK9/KCNJ12/KCNJ4/KCNK3"	4
"M1"	"REACTOME_MET_ACTIVATES_PTK2_SIGNALING"	"REACTOME_MET_ACTIVATES_PTK2_SIGNALING"	"5/423"	"30/10646"	0.00606029263231888	0.068930767426444	0.0609493101454873	"MET/ITGA2/LAMA1/COL24A1/LAMC2"	5
"M1"	"REACTOME_ORGANIC_ANION_TRANSPORTERS"	"REACTOME_ORGANIC_ANION_TRANSPORTERS"	"3/423"	"10/10646"	0.00606590753352707	0.068930767426444	0.0609493101454873	"SLC17A7/SLC17A6/SLC17A8"	3
"M1"	"REACTOME_CREATINE_METABOLISM"	"REACTOME_CREATINE_METABOLISM"	"3/423"	"11/10646"	0.00809722526927589	0.0903708177374542	0.0799068283152226	"CKMT1B/CKMT1A/SLC6A7"	3
"M1"	"REACTOME_L1CAM_INTERACTIONS"	"REACTOME_L1CAM_INTERACTIONS"	"11/423"	"121/10646"	0.00864268942105981	0.094703620264753	0.0837379379183079	"SPTBN2/L1CAM/SH3GL2/EGFR/SCN3B/ANK1/CD24/ITGA2/LAMA1/CNTN6/TUBA8"	11
"M1"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	"21/423"	"301/10646"	0.00878849596056908	0.094703620264753	0.0837379379183079	"SH3PXD2A/SPOCK3/ITGA2/LAMA1/ICAM5/HAPLN1/COL13A1/COL23A1/TLL1/MFAP5/ADAMTS3/ADAMTS18/COL26A1/ADAMTS16/COL24A1/KLK7/SCUBE1/LAMC2/TNN/MUSK/COL6A5"	21
"M1"	"REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES"	"REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES"	"10/423"	"106/10646"	0.00937392872753804	0.0993000924527335	0.087802187010838	"SLC17A7/SLC12A5/SLC8A2/SLC24A4/SLC7A10/SLC1A6/SLC6A15/SLC32A1/SLC17A6/SLC17A8"	10
"M1"	"REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS"	"REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS"	"3/423"	"12/10646"	0.0104818986995367	0.107396503069024	0.0949611185031366	"CHRNB2/CHRNA3/CHRNA2"	3
"M1"	"REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS"	"REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS"	"3/423"	"12/10646"	0.0104818986995367	0.107396503069024	0.0949611185031366	"ATP2B2/SLC8A2/ATP2B3"	3
"M1"	"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS"	"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS"	"9/423"	"94/10646"	0.012212676773789	0.123111661026098	0.108856626591498	"FZD7/SHH/WNT7A/PTHLH/CRHBP/WNT10B/PTH2R/VIP/WNT9A"	9
"M1"	"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION"	"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION"	"3/423"	"13/10646"	0.0132304848665501	0.131254810184029	0.116056884794299	"FGFR2/FGF9/FGF5"	3
"M1"	"REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING"	"REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING"	"4/423"	"24/10646"	0.0138884450423402	0.135629346116604	0.119924895513629	"CNTFR/CRLF1/IL31RA/IL11"	4
"M1"	"REACTOME_CA_DEPENDENT_EVENTS"	"REACTOME_CA_DEPENDENT_EVENTS"	"5/423"	"37/10646"	0.014780840418983	0.142123465567145	0.125667064290949	"CAMK2A/CAMK4/ADCY8/PRKCG/PDE1A"	5
"M1"	"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES"	"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES"	"7/423"	"67/10646"	0.0166194119120925	0.157380794622088	0.139157755244794	"COL13A1/COL23A1/TLL1/ADAMTS3/COL26A1/COL24A1/COL6A5"	7
"M1"	"REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS"	"REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS"	"5/423"	"39/10646"	0.0183063560944081	0.170768247149329	0.150995081689933	"ADAMTSL1/SBSPON/ADAMTS3/ADAMTS18/ADAMTS16"	5
"M1"	"REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL"	"REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL"	"3/423"	"15/10646"	0.0198467374468776	0.182414866239684	0.161293144885615	"SH3GL2/MET/SH3GL3"	3
"M1"	"REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA"	"REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA"	"6/423"	"55/10646"	0.0212829945939602	0.192780748133697	0.170458766770848	"ATP2B2/KCNN2/TMC1/CHRNA9/STRC/ESPN"	6
