"Module"	"Gene1"	"Gene2"
"M1"	"CCL14"	"CHD2"
"M1"	"CCL14"	"ZNF138"
"M1"	"RPLP0"	"UNC5D"
"M1"	"PGRMC1"	"N4BP3"
"M1"	"NEUROD1"	"ELF1"
"M1"	"NEUROD1"	"DVL3"
"M1"	"NEUROD1"	"C19orf25"
"M1"	"NEUROD1"	"FOLR3"
"M1"	"NEUROD1"	"XK"
"M1"	"NEUROD1"	"LRIG1"
"M1"	"NEUROD1"	"EFS"
"M1"	"NEUROD1"	"KRTAP26-1"
"M1"	"IL16"	"RIMS4"
"M1"	"IL16"	"DLGAP2"
"M1"	"HMG20A"	"CDH15"
"M1"	"BTAF1"	"RORB"
"M1"	"BTAF1"	"NEFM"
"M1"	"BTAF1"	"CYP4F3"
"M1"	"ITGA2"	"IGSF1"
"M1"	"ITGA2"	"KLHDC9"
"M1"	"ITGA2"	"FOLR3"
"M1"	"ITGA2"	"PTP4A1"
"M1"	"ITGA2"	"UTY"
"M1"	"ITGA2"	"DCAF17"
"M1"	"ITGA2"	"DLGAP2"
"M1"	"ITGA2"	"CBLN4"
"M1"	"ITGA2"	"MAP7D2"
"M1"	"ITGA2"	"CRP"
"M1"	"ITGA2"	"RAB11A"
"M1"	"ITGA2"	"ZYX"
"M1"	"ITGA2"	"RABL6"
"M1"	"ITGA2"	"MFAP3"
"M1"	"ITGA2"	"PBX2"
"M1"	"ITGA2"	"ZMAT5"
"M1"	"ITGA2"	"COX6A1"
"M1"	"MED20"	"GAD2"
"M1"	"MED20"	"PLIN1"
"M1"	"SYT13"	"POLR1D"
"M1"	"SYT13"	"TLE4"
"M1"	"SYT13"	"C4BPB"
"M1"	"SYT13"	"ART3"
"M1"	"SYT13"	"ABHD17A"
"M1"	"RASSF9"	"MT1G"
"M1"	"RASSF9"	"CHRM2"
"M1"	"RASSF9"	"MTFR2"
"M1"	"RASSF9"	"REV1"
"M1"	"RASSF9"	"DNAJB9"
"M1"	"RASSF9"	"PTP4A1"
"M1"	"RASSF9"	"BASP1"
"M1"	"RASSF9"	"MCFD2"
"M1"	"RASSF9"	"PCDH17"
"M1"	"RASSF9"	"POLR3H"
"M1"	"RASSF9"	"EPS15"
"M1"	"RASSF9"	"DDX39B"
"M1"	"RASSF9"	"ACVR2B"
"M1"	"RASSF9"	"PAX2"
"M1"	"RASSF9"	"RPL26"
"M1"	"RASSF9"	"NOLC1"
"M1"	"RASSF9"	"TGS1"
"M1"	"RASSF9"	"GRM7"
"M1"	"RASSF9"	"PRDM1"
"M1"	"RASSF9"	"DCAF4"
"M1"	"RASSF9"	"ATG3"
"M1"	"RASSF9"	"KCNE1"
"M1"	"RASSF9"	"TGFB2"
"M1"	"RASSF9"	"SLC37A4"
"M1"	"RASSF9"	"BNIP2"
"M1"	"RASSF9"	"SOCS6"
"M1"	"RASSF9"	"RASGRF2"
"M1"	"RASSF9"	"MAP2K4"
"M1"	"RASSF9"	"HELZ2"
"M1"	"RASSF9"	"ANKMY2"
"M1"	"RASSF9"	"H3F3A"
"M1"	"RASSF9"	"LSP1"
"M1"	"RASSF9"	"TGDS"
"M1"	"RASSF9"	"MYO7A"
"M1"	"RASSF9"	"FADS2"
"M1"	"RASSF9"	"CCNDBP1"
"M1"	"RASSF9"	"SORCS3"
"M1"	"RASSF9"	"THSD7A"
"M1"	"RASSF9"	"RASD2"
"M1"	"RASSF9"	"ATP5J"
"M1"	"MAFA"	"ELAVL2"
"M1"	"KCNG1"	"PMS2"
"M1"	"KCNG1"	"EPHA5"
"M1"	"KCNG1"	"HSPG2"
"M1"	"KCNG1"	"HTR2A"
"M1"	"KCNG1"	"SH3PXD2A"
"M1"	"KCNG1"	"TAZ"
"M1"	"KCNG1"	"GNL1"
"M1"	"KCNG1"	"FBXO38"
"M1"	"KCNG1"	"BRCA2"
"M1"	"KCNG1"	"ATP1A1"
"M1"	"KCNG1"	"DOK3"
"M1"	"KCNG1"	"CDK5"
"M1"	"KCNG1"	"PARP3"
"M1"	"KCNG1"	"FBXW11"
"M1"	"KCNG1"	"PSME3"
"M1"	"KCNG1"	"WDR62"
"M1"	"KCNG1"	"RPS12"
"M1"	"KCNG1"	"SCLT1"
"M1"	"KCNG1"	"DVL3"
"M1"	"KCNG1"	"DYRK1A"
"M1"	"KCNG1"	"EMILIN1"
"M1"	"KCNG1"	"SPHK2"
"M1"	"KCNG1"	"PTOV1"
"M1"	"KCNG1"	"ENG"
"M1"	"KCNG1"	"HAO2"
"M1"	"KCNG1"	"PADI4"
"M1"	"KCNG1"	"TAF12"
"M1"	"KCNG1"	"IRX4"
"M1"	"KCNG1"	"RAB4A"
"M1"	"KCNG1"	"NES"
"M1"	"KCNG1"	"GRHL2"
"M1"	"KCNG1"	"HNRNPL"
"M1"	"KCNG1"	"FAS"
"M1"	"KCNG1"	"DHX9"
"M1"	"KCNG1"	"TRHDE"
"M1"	"KCNG1"	"PPP1R37"
"M1"	"KCNG1"	"FLT4"
"M1"	"KCNG1"	"ZHX2"
"M1"	"KCNG1"	"CHN2"
"M1"	"KCNG1"	"TESK2"
"M1"	"KCNG1"	"F11R"
"M1"	"KCNG1"	"JUP"
"M1"	"KCNG1"	"SP100"
"M1"	"KCNG1"	"ESCO2"
"M1"	"KCNG1"	"TIMM8A"
"M1"	"KCNG1"	"RPL8"
"M1"	"KCNG1"	"POLR1D"
"M1"	"KCNG1"	"RBBP6"
"M1"	"KCNG1"	"SLC3A2"
"M1"	"KCNG1"	"ARFGEF1"
"M1"	"KCNG1"	"MLLT1"
"M1"	"KCNG1"	"FZD4"
"M1"	"KCNG1"	"IL3"
"M1"	"KCNG1"	"CEP57"
"M1"	"KCNG1"	"RSL1D1"
"M1"	"KCNG1"	"CLCN3"
"M1"	"KCNG1"	"HPRT1"
"M1"	"KCNG1"	"GTF3A"
"M1"	"KCNG1"	"GATA5"
"M1"	"KCNG1"	"ZADH2"
"M1"	"KCNG1"	"TRPV6"
"M1"	"KCNG1"	"ZNF264"
"M1"	"KCNG1"	"RHOH"
"M1"	"KCNG1"	"SEMG1"
"M1"	"KCNG1"	"SMARCE1"
"M1"	"KCNG1"	"KDM3A"
"M1"	"KCNG1"	"BMPR1B"
"M1"	"KCNG1"	"MSRB1"
"M1"	"KCNG1"	"PRKAB2"
"M1"	"KCNG1"	"DGCR14"
"M1"	"KCNG1"	"PTP4A1"
"M1"	"KCNG1"	"FBN1"
"M1"	"KCNG1"	"MIEF2"
"M1"	"KCNG1"	"TBCD"
"M1"	"KCNG1"	"LPAR4"
"M1"	"KCNG1"	"TEFM"
"M1"	"KCNG1"	"DEDD"
"M1"	"KCNG1"	"TP53RK"
"M1"	"KCNG1"	"ZNF423"
"M1"	"KCNG1"	"KIF21B"
"M1"	"KCNG1"	"CARD8"
"M1"	"KCNG1"	"MPP2"
"M1"	"KCNG1"	"RPS15A"
"M1"	"KCNG1"	"NBN"
"M1"	"KCNG1"	"ANG"
"M1"	"KCNG1"	"ATP6V1G1"
"M1"	"KCNG1"	"C1QA"
"M1"	"KCNG1"	"VASP"
"M1"	"KCNG1"	"PALLD"
"M1"	"KCNG1"	"EFNA3"
"M1"	"KCNG1"	"VAPA"
"M1"	"KCNG1"	"CLDN1"
"M1"	"KCNG1"	"IRF3"
"M1"	"KCNG1"	"IL17RB"
"M1"	"KCNG1"	"PKN3"
"M1"	"KCNG1"	"DLC1"
"M1"	"KCNG1"	"DNAJA4"
"M1"	"KCNG1"	"PDCD4"
"M1"	"KCNG1"	"CCT4"
"M1"	"KCNG1"	"SDCBP"
"M1"	"KCNG1"	"MAST1"
"M1"	"KCNG1"	"TAGLN"
"M1"	"KCNG1"	"NFIB"
"M1"	"KCNG1"	"FCGRT"
"M1"	"KCNG1"	"AP3S2"
"M1"	"KCNG1"	"CENPJ"
"M1"	"KCNG1"	"IRF9"
"M1"	"KCNG1"	"FBLN5"
"M1"	"KCNG1"	"MOCS2"
"M1"	"KCNG1"	"REPS2"
"M1"	"KCNG1"	"OTUB1"
"M1"	"KCNG1"	"TCF7L1"
"M1"	"KCNG1"	"BTG1"
"M1"	"KCNG1"	"RABIF"
"M1"	"KCNG1"	"NCAPG"
"M1"	"KCNG1"	"HOXA11"
"M1"	"KCNG1"	"MPZ"
"M1"	"KCNG1"	"TOP2B"
"M1"	"KCNG1"	"CD209"
"M1"	"KCNG1"	"SLC22A1"
"M1"	"KCNG1"	"FIZ1"
"M1"	"KCNG1"	"EIF4E3"
"M1"	"KCNG1"	"KDM5B"
"M1"	"KCNG1"	"GSC"
"M1"	"KCNG1"	"FAM84B"
"M1"	"KCNG1"	"RPL34"
"M1"	"KCNG1"	"ATOX1"
"M1"	"KCNG1"	"PIKFYVE"
"M1"	"KCNG1"	"MIIP"
"M1"	"KCNG1"	"BMP2"
"M1"	"KCNG1"	"GALC"
"M1"	"KCNG1"	"DES"
"M1"	"KCNG1"	"DLGAP4"
"M1"	"KCNG1"	"SMAD2"
"M1"	"KCNG1"	"RSBN1"
"M1"	"KCNG1"	"ALAS1"
"M1"	"KCNG1"	"DFFB"
"M1"	"KCNG1"	"EHMT1"
"M1"	"KCNG1"	"MTX2"
"M1"	"KCNG1"	"PLA2G4C"
"M1"	"CTDSPL"	"OPRK1"
"M1"	"CTDSPL"	"CELF3"
"M1"	"DENND5A"	"DDIT4L"
"M1"	"DENND5A"	"CYP4F3"
"M1"	"PDIA2"	"DDX51"
"M1"	"PDIA2"	"DBF4"
"M1"	"PDIA2"	"EIF1AX"
"M1"	"PDIA2"	"HIST2H2AA4"
"M1"	"PDIA2"	"RPL36AL"
"M1"	"PDIA2"	"SHC2"
"M1"	"PDIA2"	"RFWD2"
"M1"	"PDIA2"	"KCTD12"
"M1"	"PDIA2"	"CD99"
"M1"	"PDIA2"	"RPS12"
"M1"	"PDIA2"	"CTSA"
"M1"	"PDIA2"	"MBD4"
"M1"	"PDIA2"	"ACVR1"
"M1"	"PDIA2"	"HAO2"
"M1"	"PDIA2"	"AMIGO3"
"M1"	"PDIA2"	"ZNHIT3"
"M1"	"PDIA2"	"TAF12"
"M1"	"PDIA2"	"ATP13A1"
"M1"	"PDIA2"	"COMMD1"
"M1"	"PDIA2"	"RAB4A"
"M1"	"PDIA2"	"ZMYM3"
"M1"	"PDIA2"	"REV1"
"M1"	"PDIA2"	"ATP5F1"
"M1"	"PDIA2"	"DHX9"
"M1"	"PDIA2"	"NUP155"
"M1"	"PDIA2"	"ZFR"
"M1"	"PDIA2"	"JUP"
"M1"	"PDIA2"	"CSRNP1"
"M1"	"PDIA2"	"ACKR3"
"M1"	"PDIA2"	"TUBA1C"
"M1"	"PDIA2"	"CEP57"
"M1"	"PDIA2"	"KIFC1"
"M1"	"PDIA2"	"TCF21"
"M1"	"PDIA2"	"CRY1"
"M1"	"PDIA2"	"DLL1"
"M1"	"PDIA2"	"SLC7A7"
"M1"	"PDIA2"	"LPP"
"M1"	"PDIA2"	"NAA50"
"M1"	"PDIA2"	"FGF8"
"M1"	"PDIA2"	"SLC1A1"
"M1"	"PDIA2"	"KLHDC9"
"M1"	"PDIA2"	"C19orf25"
"M1"	"PDIA2"	"FOLR3"
"M1"	"PDIA2"	"PTP4A1"
"M1"	"PDIA2"	"RELA"
"M1"	"PDIA2"	"STAP1"
"M1"	"PDIA2"	"DCAF5"
"M1"	"PDIA2"	"ZNF804A"
"M1"	"PDIA2"	"TFAP2C"
"M1"	"PDIA2"	"THRAP3"
"M1"	"PDIA2"	"TMEM167B"
"M1"	"PDIA2"	"C10orf32"
"M1"	"PDIA2"	"TRIM35"
"M1"	"PDIA2"	"ALPK1"
"M1"	"PDIA2"	"FNBP1L"
"M1"	"RBM5"	"GPX3"
"M1"	"CXXC4"	"CCNA1"
"M1"	"CXXC4"	"ADAP1"
"M1"	"CXXC4"	"ART3"
"M1"	"HCN4"	"PDZD3"
"M1"	"HCN4"	"PBK"
"M1"	"HCN4"	"APOA4"
"M1"	"HCN4"	"ARRDC4"
"M1"	"HCN4"	"RPL23A"
"M1"	"HCN4"	"CD59"
"M1"	"HCN4"	"FBXO22"
"M1"	"HCN4"	"WDR12"
"M1"	"HCN4"	"CSRNP1"
"M1"	"HCN4"	"SOX6"
"M1"	"HCN4"	"MAP3K1"
"M1"	"HCN4"	"TRIP13"
"M1"	"HCN4"	"FAM109B"
"M1"	"HCN4"	"ZNRF3"
"M1"	"HCN4"	"IGFALS"
"M1"	"HCN4"	"A1BG"
"M1"	"HCN4"	"WDR26"
"M1"	"HCN4"	"AHRR"
"M1"	"HCN4"	"CBLL1"
"M1"	"HCN4"	"CSRP3"
"M1"	"HCN4"	"MPPED1"
"M1"	"HCN4"	"FOLR3"
"M1"	"HCN4"	"PTP4A1"
"M1"	"HCN4"	"RUNX2"
"M1"	"HCN4"	"CLTA"
"M1"	"HCN4"	"NMT2"
"M1"	"HCN4"	"SFTPC"
"M1"	"HCN4"	"CREBL2"
"M1"	"RAMP2"	"ADAM11"
"M1"	"HIST2H2BF"	"HS3ST3A1"
"M1"	"MORC3"	"CNTFR"
"M1"	"MORC3"	"MPPED1"
"M1"	"MORC3"	"RBFOX3"
"M1"	"ITGB6"	"DLGAP2"
"M1"	"SH3GL3"	"COMMD1"
"M1"	"SH3GL3"	"MRPS25"
"M1"	"SH3GL3"	"DNAJA3"
"M1"	"SH3GL3"	"REV1"
"M1"	"SH3GL3"	"TARBP2"
"M1"	"SH3GL3"	"EXOC8"
"M1"	"SH3GL3"	"CD163"
"M1"	"SH3GL3"	"MIA3"
"M1"	"SH3GL3"	"CHMP2A"
"M1"	"SH3GL3"	"TAPBP"
"M1"	"SH3GL3"	"TIMM8A"
"M1"	"SH3GL3"	"PPL"
"M1"	"SH3GL3"	"ZCCHC11"
"M1"	"SH3GL3"	"FZD4"
"M1"	"SH3GL3"	"CDC25C"
"M1"	"SH3GL3"	"ERAS"
"M1"	"SH3GL3"	"SLC7A7"
"M1"	"SH3GL3"	"SEL1L"
"M1"	"SH3GL3"	"IGFALS"
"M1"	"SH3GL3"	"AP1G2"
"M1"	"SH3GL3"	"WDR26"
"M1"	"SH3GL3"	"ARL13A"
"M1"	"SH3GL3"	"MPPED1"
"M1"	"SH3GL3"	"PTP4A1"
"M1"	"SH3GL3"	"ABCG8"
"M1"	"SH3GL3"	"CDCA4"
"M1"	"SH3GL3"	"TEP1"
"M1"	"SH3GL3"	"ABCA6"
"M1"	"SH3GL3"	"ATP6V0A1"
"M1"	"SH3GL3"	"TANGO2"
"M1"	"SH3GL3"	"TNNC1"
"M1"	"SH3GL3"	"CBX2"
"M1"	"SH3GL3"	"AGTRAP"
"M1"	"SH3GL3"	"CCDC14"
"M1"	"SH3GL3"	"MAPK6"
"M1"	"SH3GL3"	"ATP5J"
"M1"	"KDM6B"	"CACNG2"
"M1"	"KDM6B"	"KRT17"
"M1"	"KDM6B"	"CYP4F3"
"M1"	"MOB1B"	"CELSR1"
"M1"	"CTCFL"	"KRT17"
"M1"	"PINX1"	"PIEZO2"
"M1"	"GAR1"	"ST8SIA2"
"M1"	"GAR1"	"PIWIL2"
"M1"	"GAR1"	"GRM1"
"M1"	"GAR1"	"PPL"
"M1"	"GAR1"	"MPPED1"
"M1"	"ATG12"	"PLIN1"
"M1"	"OAZ1"	"CELF3"
"M1"	"OAZ1"	"ELAVL2"
"M1"	"OAZ1"	"ADAM11"
"M1"	"SFTPD"	"UNC5D"
"M1"	"GFM1"	"TBR1"
"M1"	"STT3B"	"CBLN1"
"M1"	"STT3B"	"ART3"
"M1"	"STT3B"	"TOX3"
"M1"	"CACNA1H"	"NUFIP2"
"M1"	"CACNA1H"	"MAFF"
"M1"	"CACNA1H"	"SLBP"
"M1"	"CACNA1H"	"MORF4L2"
"M1"	"CACNA1H"	"HAS3"
"M1"	"CACNA1H"	"HRH3"
"M1"	"CACNA1H"	"SPARC"
"M1"	"CACNA1H"	"WAPAL"
"M1"	"CACNA1H"	"FBXL18"
"M1"	"CACNA1H"	"PGR"
"M1"	"CACNA1H"	"HRAS"
"M1"	"CACNA1H"	"AP3S1"
"M1"	"CACNA1H"	"SNED1"
"M1"	"CACNA1H"	"SPATC1"
"M1"	"CACNA1H"	"PHLPP2"
"M1"	"CACNA1H"	"EMILIN1"
"M1"	"CACNA1H"	"CALB1"
"M1"	"CACNA1H"	"TARBP2"
"M1"	"CACNA1H"	"SYTL4"
"M1"	"CACNA1H"	"ZNF131"
"M1"	"CACNA1H"	"PPL"
"M1"	"CACNA1H"	"FZD4"
"M1"	"CACNA1H"	"DPYSL3"
"M1"	"CACNA1H"	"RCBTB2"
"M1"	"CACNA1H"	"VPS28"
"M1"	"CACNA1H"	"PTP4A1"
"M1"	"CACNA1H"	"FBL"
"M1"	"CACNA1H"	"CISH"
"M1"	"CACNA1H"	"TDRD7"
"M1"	"CACNA1H"	"OSTF1"
"M1"	"CACNA1H"	"RPL11"
"M1"	"CACNA1H"	"PIK3R2"
"M1"	"CACNA1H"	"FBXO8"
"M1"	"CACNA1H"	"TINAGL1"
"M1"	"CACNA1H"	"THRAP3"
"M1"	"CACNA1H"	"HGF"
"M1"	"CACNA1H"	"DNAJB5"
"M1"	"CACNA1H"	"ASNA1"
"M1"	"CACNA1H"	"TFRC"
"M1"	"CACNA1H"	"PELI3"
"M1"	"CACNA1H"	"ITPK1"
"M1"	"CACNA1H"	"EGLN1"
"M1"	"OLFM3"	"MMP8"
"M1"	"OLFM3"	"FLT3"
"M1"	"OLFM3"	"PVRL3"
"M1"	"OLFM3"	"FCN1"
"M1"	"OLFM3"	"LIN37"
"M1"	"OLFM3"	"PTP4A1"
"M1"	"OLFM3"	"PPP2R5E"
"M1"	"OLFM3"	"ARHGAP5"
"M1"	"OLFM3"	"AIMP2"
"M1"	"OLFM3"	"PSMB7"
"M1"	"OLFM3"	"RAB5A"
"M1"	"OLFM3"	"TMEM167B"
"M1"	"OLFM3"	"TRIM35"
"M1"	"OLFM3"	"CCNA2"
"M1"	"OLFM3"	"TCEA1"
"M1"	"OLFM3"	"MEI1"
"M1"	"OLFM3"	"TVP23C"
"M1"	"OLFM3"	"PAQR7"
"M1"	"OLFM3"	"POMT2"
"M1"	"OLFM3"	"FBXO46"
"M1"	"TAX1BP3"	"EPHA7"
"M1"	"ANKRD18A"	"UMOD"
"M1"	"ANKRD18A"	"CD247"
"M1"	"ANKRD18A"	"EVC2"
"M1"	"ANKRD18A"	"STOML1"
"M1"	"ANKRD18A"	"PEX12"
"M1"	"ANKRD18A"	"SNRNP27"
"M1"	"ANKRD18A"	"LRP8"
"M1"	"ANKRD18A"	"ACKR3"
"M1"	"ANKRD18A"	"MYO16"
"M1"	"ANKRD18A"	"HIPK3"
"M1"	"ANKRD18A"	"WDR26"
"M1"	"ANKRD18A"	"AHRR"
"M1"	"ANKRD18A"	"TMED1"
"M1"	"ANKRD18A"	"CBLL1"
"M1"	"ANKRD18A"	"STAP2"
"M1"	"ANKRD18A"	"CBFA2T2"
"M1"	"ANKRD18A"	"XPO4"
"M1"	"ANKRD18A"	"MUC6"
"M1"	"ANKRD18A"	"ALG2"
"M1"	"ANKRD18A"	"RPAP1"
"M1"	"ANKRD18A"	"TM9SF2"
"M1"	"ANKRD18A"	"COPS5"
"M1"	"ANKRD18A"	"MYOT"
"M1"	"ANKRD18A"	"PSEN1"
"M1"	"ANKRD18A"	"ORC6"
"M1"	"ANKRD18A"	"DDX41"
"M1"	"ANKRD18A"	"RNASEH2A"
"M1"	"MAS1"	"SLN"
"M1"	"MAS1"	"MIER1"
"M1"	"MAS1"	"HIST1H3B"
"M1"	"MAS1"	"S100A13"
"M1"	"MAS1"	"CHMP2A"
"M1"	"MAS1"	"RIMS4"
"M1"	"MAS1"	"HPRT1"
"M1"	"MAS1"	"CSRP3"
"M1"	"MAS1"	"MPPED1"
"M1"	"MAS1"	"PTP4A1"
"M1"	"MAS1"	"RAB5B"
"M1"	"MAS1"	"SEMA4B"
"M1"	"MAS1"	"MPHOSPH6"
"M1"	"MAS1"	"PDCD1"
"M1"	"MAS1"	"TMED4"
"M1"	"MAS1"	"IRF3"
"M1"	"MAS1"	"KRT6B"
"M1"	"MAS1"	"TIMP2"
"M1"	"MAS1"	"NRG2"
"M1"	"MAS1"	"CSTF3"
"M1"	"MAS1"	"SORCS3"
"M1"	"MAS1"	"SFTPC"
"M1"	"MAS1"	"ART4"
"M1"	"MAS1"	"NKAPL"
"M1"	"MAS1"	"PLAGL1"
"M1"	"MAS1"	"MAGT1"
"M1"	"MAS1"	"TMC6"
"M1"	"MAS1"	"COA3"
"M1"	"REG3A"	"PGR"
"M1"	"APH1B"	"CDH8"
"M1"	"SH2B3"	"CELF3"
