"genes"	"modules"
"SRPX2"	"M4"
"SCN7A"	"M6"
"B3GAT2"	"M3"
"HPCAL4"	"M1"
"NRGN"	"M1"
"SERPINE1"	"M4"
"SAPCD2"	"M6"
"MAG"	"M7"
"SYN2"	"M1"
"CALN1"	"M1"
"FAT2"	"M1"
"RAB11FIP4"	"M1"
"SRCIN1"	"M7"
"ABCC3"	"M4"
"STMN2"	"M1"
"SLC6A11"	"M3"
"ZNF460"	"M2"
"ARC"	"M2"
"LRRC55"	"M5"
"PCLO"	"M3"
"RPS4Y1"	"Not.Correlated"
"RPH3A"	"M1"
"RIMS1"	"M1"
"PACSIN1"	"M1"
"PLXNA4"	"M1"
"FOSB"	"M2"
"LMO3"	"M1"
"CASKIN1"	"M3"
"CACNG5"	"M6"
"ITPRID1"	"M1"
"VSNL1"	"M1"
"GRIN1"	"M1"
"TMEM130"	"M3"
"PCDHGB6"	"M2"
"ZBED6"	"M2"
"MGP"	"M4"
"EGR3"	"M2"
"RELN"	"M1"
"FGFR2"	"M1"
"ST8SIA3"	"M3"
"GRIN2A"	"M1"
"NEFL"	"M1"
"L1CAM"	"M1"
"ADGRV1"	"M1"
"PCDHGA10"	"M1"
"H2AC20"	"M2"
"ZFHX4"	"M1"
"WNK2"	"M3"
"DIO2"	"M1"
"RYR3"	"M1"
"NLGN4Y"	"Not.Correlated"
"C7"	"M4"
"KNDC1"	"M1"
"ENPP2"	"M1"
"NEU4"	"M6"
"SDK2"	"M2"
"H4C12"	"M2"
"ERMN"	"M1"
"EGR2"	"M4"
"PODNL1"	"M4"
"PCDHGA12"	"M1"
"SHISA6"	"M1"
"DMTN"	"M1"
"ATP8A2"	"M3"
"STUM"	"M1"
"CXCL14"	"M1"
"SH3GL2"	"M1"
"BAIAP3"	"M5"
"CHST9"	"M6"
"SV2B"	"M1"
"PPP1R1B"	"M1"
"CTXN1"	"M2"
"PLAU"	"M4"
"COL6A3"	"M8"
"EGFR"	"M1"
"EMILIN3"	"M6"
"PCDHGA5"	"M2"
"PTPRT"	"M3"
"PPP2R2C"	"M1"
"SPOCD1"	"M4"
"CABP7"	"M6"
"CCL3"	"Not.Correlated"
"CARNS1"	"M7"
"SLITRK1"	"M6"
"PTPRN"	"M1"
"CCL2"	"M4"
"CAMK4"	"M1"
"TRPM3"	"M1"
"COL22A1"	"M4"
"NKX2-2"	"M2"
"H2AC18"	"M2"
"DDN"	"M1"
"GPR37"	"M1"
"MOXD1"	"Not.Correlated"
"HCN2"	"M7"
"KIF19"	"M6"
"SALL3"	"M2"
"SPTB"	"M3"
"CCDC85B"	"M2"
"GALNT17"	"M1"
"SLC12A5"	"M1"
"MICAL2"	"M1"
"C11orf96"	"M2"
"FERMT1"	"M6"
"JPH3"	"M3"
"ETNPPL"	"M1"
"KSR2"	"M3"
"AJM1"	"M2"
"USP9Y"	"Not.Correlated"
"TMEM151B"	"M1"
"PRR36"	"M3"
"SCN3B"	"M1"
"PCDHGA3"	"M1"
"CHD5"	"M1"
"ADCY8"	"M1"
"ENSG00000277196"	"M3"
"H2BC4"	"M2"
"TRH"	"M6"
"PEX5L"	"M7"
"CACNA1E"	"M3"
"LGI3"	"M7"
"HS6ST3"	"M3"
"SHROOM3"	"M1"
"MYT1L"	"M1"
"CNTNAP2"	"M1"
"UNC13C"	"M1"
"NPNT"	"M1"
"PCSK6"	"M7"
"TRIM67"	"M6"
"ENSG00000288534"	"M2"
"NEFM"	"M1"
"ACBD7"	"M1"
"GPC5"	"Not.Correlated"
"PRPH"	"M5"
"SERPINA5"	"M4"
"ALDH1A1"	"M1"
"ECRG4"	"M4"
"SYT7"	"M1"
"RGS4"	"M1"
"COCH"	"M6"
"GSTM1"	"Not.Correlated"
"INMT"	"M4"
"LY6H"	"M1"
"SNCB"	"M1"
"ELOVL2"	"M1"
"CCL4"	"Not.Correlated"
"SLC6A17"	"M1"
"ENSG00000284874"	"M2"
"DOK6"	"M3"
"SEMA3A"	"M8"
"TMEM132D"	"M6"
"PITPNM3"	"M1"
"ZNF488"	"M6"
"GABRB2"	"M1"
"SLC8A2"	"M1"
"H4C3"	"M2"
"LNX1"	"M6"
"CPXM2"	"M5"
"TET1"	"M2"
"ST6GAL2"	"M3"
"SLC4A10"	"M3"
"SSTR1"	"M6"
"SEZ6"	"M1"
"XKR4"	"M3"
"TTN"	"M2"
"DUSP8"	"M1"
"FZD7"	"M1"
"RIMS4"	"M1"
"MAST1"	"M3"
"CELF5"	"M3"
"SPOCK3"	"M1"
"PCDHGA11"	"M2"
"LIX1"	"M1"
"SYT4"	"M1"
"LHX2"	"M1"
"GDA"	"M1"
"DDX3Y"	"Not.Correlated"
"GABRA2"	"M1"
"H4C11"	"M2"
"CCL4L2"	"Not.Correlated"
"H4C15"	"M2"
"IQSEC3"	"M1"
"NNAT"	"M1"
"TTR"	"Not.Correlated"
"MCHR1"	"M4"
"RYR2"	"M1"
"SYT13"	"M1"
"GRIN2D"	"M6"
"GALNT5"	"M4"
"PHF24"	"M1"
"GRM7"	"M6"
"CBARP"	"M2"
"SLC39A12"	"M1"
"SORCS2"	"M1"
"CREG2"	"M1"
"DLL3"	"M6"
"LRP2"	"M7"
"HAPLN2"	"M7"
"SFRP1"	"M1"
"RASGRF1"	"M1"
"INA"	"M1"
"RBFOX1"	"M1"
"IER5L"	"M2"
"PYGM"	"M1"
"ANKRD36C"	"M2"
"CCL3L3"	"Not.Correlated"
"PIRT"	"M5"
"ANK1"	"M1"
"SHANK2"	"M1"
"SOGA3"	"M2"
"SHISAL1"	"M1"
"EPHA5"	"M6"
"RGPD6"	"M2"
"CNTFR"	"M1"
"LRRC7"	"M1"
"H2BC18"	"M2"
"KDM5D"	"Not.Correlated"
"CA12"	"M1"
"ANKRD36"	"M2"
"ARHGAP36"	"M1"
"ERICH3"	"M1"
"ADAMTSL1"	"M1"
"CNDP1"	"M1"
"CAMKV"	"M1"
"ADAMTS4"	"M7"
"TMEM151A"	"M7"
"SULT4A1"	"M1"
"FOXG1"	"M1"
"DLGAP3"	"M1"
"SLC14A1"	"M1"
"CNTNAP4"	"M7"
"LGI1"	"M1"
"HPCA"	"M3"
"PCDHGB4"	"M2"
"PRODH"	"M2"
"STX1A"	"M1"
"SLCO1A2"	"M1"
"CBSL"	"M2"
"KCNA1"	"M3"
"KCNK12"	"M3"
"CPNE6"	"M1"
"CELF4"	"M1"
"UNC5A"	"M3"
"SPHKAP"	"M1"
"CELF3"	"M1"
"CPLX1"	"M1"
"CTNNA3"	"M7"
"PAX6"	"M1"
"VSTM2B"	"M6"
"ZIC2"	"M1"
"GRM3"	"M1"
"PCDHGA7"	"M2"
"ENSG00000273259"	"M4"
"PCDH20"	"M6"
"IL1B"	"Not.Correlated"
"GABRG1"	"M1"
"RBFOX3"	"M1"
"GABRA1"	"M1"
"DBX2"	"M6"
"EPHB6"	"M1"
"GOLGA7B"	"M1"
"OPALIN"	"M1"
"TENM2"	"M1"
"NT5C1A"	"M3"
"CD24"	"M1"
"ZNF536"	"M1"
"HIF3A"	"M3"
"ITIH2"	"M4"
"LRFN1"	"M2"
"FAM184B"	"M6"
"WDR49"	"M5"
"CHGA"	"M1"
"ELAVL4"	"M3"
"MKI67"	"M8"
"AFF2"	"M1"
"ADAP1"	"M1"
"DGKB"	"M3"
"CALB2"	"M1"
"H2AC8"	"M2"
"NEURL1"	"M1"
"NR4A3"	"M2"
"GRM4"	"M1"
"TMEM88B"	"M7"
"C4orf48"	"M2"
"KCTD16"	"M3"
"H4C4"	"M2"
"H4C8"	"M2"
"SVOP"	"M1"
"PCSK2"	"M3"
"NRN1"	"M1"
"SFRP2"	"M5"
"SLN"	"M1"
"PCDHGB3"	"M2"
"F5"	"M1"
"IGLON5"	"M3"
"CBLN1"	"M1"
"BEGAIN"	"M3"
"FBN2"	"M2"
"FNDC1"	"M1"
"TTC9B"	"M3"
"MAL"	"M1"
"IRX2"	"M6"
"LIF"	"M4"
"RNF128"	"M6"
"SYNGR3"	"M1"
"HIC1"	"M2"
"KLRC2"	"M6"
"H2BC5"	"M2"
"UNC5D"	"M1"
"ST18"	"M7"
"SYT12"	"M1"
"PCDHA4"	"M2"
"SPX"	"M1"
"HMCN2"	"M2"
"TMEM178A"	"M1"
"AIFM3"	"M1"
"ELFN1"	"M2"
"ANTKMT"	"M2"
"ZIC4"	"M1"
"MFSD4A"	"M1"
"FGF13"	"M1"
"EXPH5"	"M1"
"GMPR"	"M5"
"PPP1R14A"	"M7"
"LRRC3B"	"M1"
"GSTM5"	"M1"
"PAX3"	"M6"
"LUM"	"M4"
"SYT2"	"M1"
"CBLN3"	"M1"
"SIK1B"	"M2"
"GRIN2C"	"M1"
"OGDHL"	"M1"
"GABRG2"	"M1"
"ENSG00000268173"	"M2"
"ENSG00000277117"	"M2"
"PCDHA10"	"M2"
"DCHS2"	"M5"
"RORB"	"M1"
"TENM3"	"M1"
"CACNA1B"	"M1"
"MYBPC1"	"M1"
"CDH1"	"M6"
"ADRA1A"	"M1"
"PLCH2"	"M7"
"RAB3B"	"M1"
"RASGRP1"	"M1"
"ROBO2"	"M1"
"SV2C"	"M3"
"IRX1"	"M6"
"ANGPT1"	"M1"
"UTY"	"Not.Correlated"
"NECAB1"	"M1"
"COL19A1"	"M6"
"SHD"	"M6"
"SYNPR"	"M1"
"PRKCG"	"M1"
"CALY"	"M1"
"MGAT5B"	"M1"
"RIT2"	"M6"
"PCDHA6"	"M1"
"OBSCN"	"M1"
"KIAA0319"	"M1"
"IGSF1"	"M1"
"ZFPM1"	"M2"
"GABRD"	"M1"
"SH3TC2"	"M1"
"MAP7D2"	"M3"
"SLC24A4"	"M1"
"TMPPE"	"M2"
"KCNH3"	"M3"
"C10orf105"	"M5"
"TBX2"	"M2"
"SRRM4"	"M1"
"PLA2G5"	"M4"
"SRRM3"	"M1"
"WSCD2"	"M1"
"TLCD3B"	"M3"
"GFRA2"	"M1"
"CHRNB2"	"M1"
"SVEP1"	"M1"
"SEC14L5"	"M7"
"KLK6"	"M7"
"CELSR1"	"M1"
"SYT5"	"M1"
"CRLF1"	"M1"
"RARRES1"	"M4"
"LRAT"	"M5"
"TPGS1"	"M2"
"CHRNA4"	"M3"
"H4C2"	"M2"
"PDE1A"	"M1"
"PTPN5"	"M1"
"SSTR2"	"M1"
"CKMT1B"	"M1"
"LGR6"	"M1"
"GABRB1"	"M3"
"CLVS2"	"M1"
"ATP2B3"	"M1"
"NKX6-2"	"M1"
"SNCG"	"M1"
"SOX18"	"M2"
"EDN3"	"M1"
"LINGO3"	"M2"
"H1-3"	"M2"
"FSTL5"	"M1"
"HLA-DQA2"	"M4"
"BTBD11"	"M1"
"INSYN2B"	"M3"
"MET"	"M1"
"H2BC8"	"M2"
"MMP19"	"M4"
"PCDHA11"	"M2"
"H1-5"	"M2"
"SCRT1"	"M1"
"TMEM160"	"M2"
"PCP4"	"M1"
"KCNC2"	"M1"
"LRFN2"	"M3"
"KCNJ6"	"M1"
"ENSG00000284820"	"M2"
"CCDC144A"	"M2"
"FAM163B"	"M1"
"LRRC2"	"M5"
"PRDM16"	"M5"
"STON1-GTF2A1L"	"M2"
"ITGA2"	"M1"
"CNTN3"	"M3"
"MIA"	"M4"
"PDYN"	"M1"
"SYT9"	"M3"
"CDK5R2"	"M1"
"WIPF3"	"M1"
"PENK"	"M1"
"CALB1"	"M1"
"CRYM"	"M1"
"GAD2"	"M1"
"CCDC85A"	"M1"
"ADAM11"	"M1"
"H4-16"	"M2"
"WNT7B"	"M3"
"C1QTNF4"	"M3"
"PCDH11X"	"M3"
"PPL"	"M1"
"NEUROD2"	"M1"
"APCDD1L"	"M4"
"HES4"	"M2"
"GJB6"	"M1"
"GDF10"	"M1"
"VAX1"	"M1"
"PTGS2"	"Not.Correlated"
"SLC13A3"	"M1"
"TMEM121"	"M2"
"SHH"	"M1"
"H2AC7"	"M2"
"HHIP"	"M1"
"PRR7"	"M2"
"OGN"	"M4"
"RTP5"	"M6"
"GRM1"	"M1"
"TRHDE"	"M3"
"KIRREL3"	"M1"
"GABRA5"	"M1"
"H4C14"	"M2"
"ENSG00000263620"	"M2"
"CKMT1A"	"M1"
"PNMA3"	"M1"
"CAMSAP3"	"M3"
"H2AC21"	"M2"
"KCNT1"	"M1"
"CHRM1"	"M3"
"ZNF727"	"M1"
"CDH22"	"M1"
"ARHGDIG"	"M1"
"FRMPD4"	"M1"
"NR2E1"	"M1"
"TOP2A"	"M8"
"FOLH1"	"M7"
"PDZRN4"	"M3"
"CLDN1"	"M6"
"NKAIN2"	"M1"
"PWP2"	"Not.Correlated"
"PRKG1"	"M1"
"DISP3"	"M3"
"PIEZO2"	"M1"
"HS3ST4"	"M1"
"KCNJ3"	"M1"
"ZFY"	"Not.Correlated"
"PANX2"	"M1"
"EIF1AY"	"Not.Correlated"
"CPNE4"	"M1"
"FPR3"	"M4"
"KCNA5"	"M3"
"C11orf87"	"M1"
"FCGR2B"	"M4"
"NEUROD1"	"M1"
"CACNA1I"	"M1"
"JAKMIP1"	"M1"
"MYO5B"	"M1"
"KCNE5"	"M3"
"CDS1"	"M1"
"ASPA"	"M1"
"H3C15"	"M2"
"PCDH8"	"M1"
"ENSG00000275740"	"M2"
"NECAB2"	"M1"
"LAMA1"	"M1"
"KANK4"	"M1"
"H3C2"	"M2"
"DMRT2"	"M2"
"ANKRD20A1"	"M2"
"USH1C"	"M7"
"BCL11A"	"M1"
"NCMAP"	"M4"
"KCNK9"	"M1"
"CDH18"	"M1"
"PCP4L1"	"M3"
"LRRC24"	"M2"
"PCDHA3"	"M1"
"GALNT9"	"M1"
"GADD45G"	"M1"
"HS3ST3B1"	"M1"
"ENSG00000255641"	"M6"
"GJB1"	"M7"
"PCDHA1"	"M7"
"HMX1"	"M2"
"MMP9"	"M2"
"FCRLA"	"M6"
"MYH11"	"M1"
"PI16"	"M5"
"DAO"	"M1"
"H4C6"	"M2"
"DACT2"	"M2"
"CLIC6"	"M1"
"COL21A1"	"M5"
"WIF1"	"M3"
"H3C4"	"M2"
"C4orf50"	"M1"
"NEB"	"M2"
"CFAP54"	"M5"
"ATP2C2"	"M3"
"HHATL"	"M1"
"GP1BB"	"M2"
"SLC47A2"	"M5"
"ZNF628"	"M2"
"H2BC6"	"M2"
"CDH8"	"M1"
"MSMP"	"M8"
"SH3GL3"	"M1"
"TBR1"	"M1"
"SPON2"	"M2"
"GPRC5A"	"M4"
"SLC13A5"	"M1"
"ENSG00000283765"	"M7"
"KCNN2"	"M1"
"PLCH1"	"M1"
"TMEM271"	"M3"
"XKR6"	"M2"
"ABHD12B"	"M6"
"CNTN4"	"M1"
"RAB26"	"M3"
"POU3F4"	"M3"
"IGFBPL1"	"M3"
"NTSR2"	"M1"
"ICAM5"	"M1"
"ENSG00000288656"	"M2"
"CUX2"	"M1"
"ENPP6"	"M1"
"AMER3"	"M1"
"SEMA3D"	"M3"
"MPPED1"	"M1"
"ADAMTS14"	"M2"
"VSTM2A"	"M1"
"GDNF"	"M6"
"EVA1B"	"M2"
"HRK"	"M1"
"FRAS1"	"M1"
"IQCA1"	"M1"
"NAALAD2"	"M3"
"F12"	"M2"
"LDB3"	"M1"
"HCN1"	"M1"
"PKP2"	"M1"
"GDF15"	"M4"
"PCDHB3"	"M2"
"PCDHA5"	"M2"
"ST6GALNAC5"	"M1"
"CPAMD8"	"M1"
"MAL2"	"M1"
"PNCK"	"M1"
"BTBD17"	"M3"
"FAM20A"	"M4"
"S100A8"	"M2"
"GABRA4"	"M1"
"DLGAP2"	"M1"
"CCK"	"M1"
"LYPD6"	"M1"
"ENSG00000266086"	"M2"
"DOC2A"	"M1"
"H2BC15"	"M2"
"ADRB1"	"M1"
"ISLR2"	"M1"
"IRX5"	"M6"
"CACNA1H"	"M1"
"FAM181A"	"M5"
"SLC7A10"	"M1"
"PPP1R1A"	"M1"
"VWA5B2"	"M1"
"HAPLN1"	"M1"
"CACNG3"	"M1"
"NPY"	"M1"
"CCDC8"	"M1"
"H2AC11"	"M2"
"H2BC7"	"M2"
"FOXD1"	"M2"
"CACNG2"	"M1"
"PRDM8"	"M1"
"TMEM74"	"M1"
"MARCHF4"	"M1"
"ESM1"	"M8"
"ALOX15B"	"M4"
"C1QL2"	"M3"
"ARX"	"M1"
"H2BC11"	"M2"
"CCDC92B"	"M1"
"FREM1"	"M1"
"GABRA6"	"M1"
"GREM1"	"M1"
"MT1G"	"M1"
"STRA6"	"M8"
"CES1"	"M1"
"FRMPD2"	"M1"
"SNCAIP"	"M1"
"SIX1"	"M1"
"KCNJ12"	"M1"
"TMEFF1"	"M3"
"ZMYND10"	"M5"
"STC2"	"M1"
"NAT16"	"M6"
"NELL1"	"M1"
"ENSG00000269242"	"M2"
"SLC1A6"	"M1"
"GJC2"	"M7"
"MYH2"	"M1"
"GABRG3"	"M1"
"FAM81A"	"M1"
"SLC30A3"	"M1"
"F8A3"	"M2"
"ADAM33"	"M2"
"CLEC5A"	"M4"
"KIF26A"	"M2"
"LRRC15"	"M4"
"MROH7"	"M2"
"STC1"	"M8"
"ENSG00000256500"	"M2"
"HPR"	"M1"
"GPR12"	"M3"
"NRG1"	"M1"
"CLVS1"	"M1"
"PCDHA2"	"M2"
"ANKRD55"	"M6"
"TREM1"	"M4"
"ACY3"	"M1"
"DNAH2"	"M1"
"ELAVL2"	"M1"
"RSPH1"	"M1"
"PCDH11Y"	"M1"
"IGF2BP3"	"M8"
"CNGA3"	"M1"
"RGS8"	"M1"
"EMX2"	"M1"
"H2AC17"	"M2"
"TNFRSF8"	"M6"
"H3C1"	"M2"
"RASAL1"	"M1"
"ENSG00000284779"	"M2"
"FSTL4"	"M1"
"LGR5"	"M7"
"ACTL6B"	"M1"
"PAPPA2"	"M1"
"H3C6"	"M2"
"CBLN4"	"M1"
"SIX6"	"M1"
"PCDHGA8"	"M2"
"COMMD3-BMI1"	"M2"
"TNF"	"Not.Correlated"
"VIPR2"	"M3"
"NPIPA5"	"M3"
"PCDHA9"	"M2"
"CFD"	"M2"
"ADCYAP1"	"M3"
"EPPK1"	"M2"
"SLC45A3"	"M1"
"OSM"	"M4"
"RSPO2"	"M1"
"SLC6A15"	"M1"
"PCBP3"	"M1"
"COL13A1"	"M1"
"ZFP91-CNTF"	"M2"
"NOG"	"M2"
"JPH2"	"M5"
"CDH7"	"M1"
"DNAH17"	"M7"
"NRIP2"	"M1"
"CPLX3"	"M1"
"CXCL8"	"Not.Correlated"
"BDNF"	"M1"
"PDF"	"M2"
"H4C9"	"M2"
"RBM14-RBM4"	"M2"
"SOX3"	"M6"
"INPP5J"	"M1"
"TMEM196"	"M3"
"P2RY2"	"M5"
"TMIE"	"M5"
"CFAP43"	"M5"
"H4C1"	"M2"
"DNAH11"	"M2"
"HOGA1"	"M1"
"H3C10"	"M2"
"CNTN6"	"M1"
"KCNG1"	"M1"
"RPRM"	"M3"
"GRIP2"	"M1"
"RTN4R"	"M1"
"KCNS1"	"M3"
"EPHA7"	"M1"
"JCHAIN"	"M4"
"SFRP5"	"M5"
"ENSG00000257767"	"M2"
"KCNJ4"	"M1"
"INO80B-WBP1"	"M1"
"CBLN2"	"M3"
"H3C11"	"M2"
"CA4"	"M1"
"ENSG00000285943"	"M2"
"DLEC1"	"M5"
"KCNK3"	"M1"
"COL23A1"	"M1"
"ATP6V0A4"	"M6"
"KLRC3"	"M6"
"PTPN3"	"M1"
"FOXD3"	"M2"
"KIF6"	"M1"
"PVALB"	"M1"
"SIK1"	"M2"
"RPE65"	"M5"
"RTN4RL1"	"M1"
"ANO3"	"M3"
"FOXM1"	"M8"
"TMEM125"	"M7"
"SST"	"M1"
"GRID2IP"	"M2"
"SBSPON"	"M1"
"ANO1"	"M1"
"GRIN3A"	"M1"
"NR0B1"	"M6"
"BHLHE22"	"M1"
"ENSG00000241489"	"M2"
"INSM1"	"M1"
"LOX"	"M8"
"HRH3"	"M1"
"IRX3"	"M6"
"ABCA13"	"M5"
"H2BC3"	"M2"
"MATK"	"M1"
"LIPH"	"M6"
"YJEFN3"	"M1"
"HTR2A"	"M1"
"HP"	"Not.Correlated"
"FAM241B"	"M1"
"ENSG00000283515"	"M2"
"PCDHA13"	"M1"
"IL21R"	"M4"
"CBFA2T3"	"M1"
"PCDHA12"	"M2"
"CFAP126"	"M5"
"EFNA5"	"M1"
"EYA4"	"M1"
"MGAT4C"	"M1"
"TMPRSS9"	"M3"
"MGAM"	"M2"
"XKR7"	"M1"
"LCNL1"	"M2"
"ENSG00000288658"	"M3"
"TESPA1"	"M1"
"TLL1"	"M1"
"ENSG00000288637"	"M2"
"ADAT3"	"M2"
"SCN5A"	"M2"
"RASL10A"	"M1"
"EPHA6"	"M1"
"ZNF385B"	"M1"
"WDR86"	"M2"
"SLC32A1"	"M1"
"CARMIL2"	"M1"
"ZC3HAV1L"	"M2"
"HMGA2"	"M4"
"SLC6A20"	"M2"
"ENSG00000254692"	"M2"
"TRDN"	"M5"
"ARMC3"	"M5"
"ODF3B"	"M2"
"PTPRR"	"M1"
"NPVF"	"Not.Correlated"
"HPSE2"	"M1"
"TMEM235"	"M7"
"ENSG00000285000"	"M2"
"EYA1"	"M1"
"IRF6"	"M1"
"ANKRD20A3P"	"M2"
"HSF4"	"M1"
"MMP25"	"M2"
"CD22"	"M7"
"OPRM1"	"M1"
"RRM2"	"M8"
"ECEL1"	"M1"
"H3C7"	"M2"
"ZMAT4"	"M1"
"TEKT1"	"M5"
"HMGCLL1"	"M1"
"ZIC5"	"M1"
"CAMK1G"	"M1"
"PTPRH"	"M1"
"ITPKA"	"M1"
"WNT7A"	"M1"
"OTX1"	"M1"
"TUBA8"	"M1"
"VWA2"	"M1"
"PLPPR3"	"M1"
"C1orf87"	"M5"
"GPR62"	"M7"
"C1QL3"	"M1"
"EN2"	"M6"
"PLEKHS1"	"M4"
"MTUS2"	"M1"
"NDNF"	"M1"
"CHRNA1"	"Not.Correlated"
"S1PR5"	"M7"
"SAMD11"	"M2"
"DHRS9"	"M1"
"CLMP"	"M1"
"KCTD8"	"M1"
"ACVR1C"	"M1"
"SYTL5"	"M1"
"NKAIN1"	"M1"
"H2AC12"	"M2"
"H2AC4"	"M2"
"POLR2J2"	"M2"
"FAM131C"	"M1"
"ADRA2A"	"M1"
"DDIT4L"	"M1"
"ENSG00000188897"	"M2"
"AREG"	"M4"
"DRC1"	"M5"
"KCNV1"	"M1"
"TSNAX-DISC1"	"M2"
"ZNF66"	"M2"
"GPR26"	"M1"
"BICDL1"	"M1"
"HLA-DQB2"	"M4"
"HES5"	"M3"
"NOS2"	"M1"
"LHX6"	"M1"
"KCNA4"	"M1"
"TSTD1"	"M1"
"GPR179"	"M1"
"MESP1"	"M2"
"FIBCD1"	"M2"
"TOX3"	"M1"
"OPRD1"	"M1"
"PAQR9"	"M1"
"ASPM"	"M8"
"NPM2"	"M1"
"TTC34"	"M2"
"SMIM43"	"M1"
"COL2A1"	"M6"
"TMEM229A"	"M1"
"MEGF6"	"M1"
"H3C3"	"M2"
"NOTCH2NLR"	"M2"
"MYRFL"	"M6"
"CORO6"	"M1"
"TRIM71"	"M6"
"ENSG00000282278"	"M2"
"MYOZ3"	"M1"
"MFAP5"	"M1"
"KCNG4"	"M6"
"TAFA1"	"M3"
"ADAMTS3"	"M1"
"ASB5"	"M6"
"H2AC13"	"M2"
"PCDHA8"	"M2"
"OLFM3"	"M1"
"LRTM2"	"M1"
"N4BP3"	"M1"
"MYOT"	"M6"
"CA14"	"M1"
"MYH15"	"M1"
"GGN"	"M2"
"WFIKKN2"	"M6"
"SLC6A13"	"M1"
"H2BC9"	"M2"
"FAM187A"	"M2"
"LMO1"	"M1"
"ENSG00000285976"	"M2"
"CCNJL"	"M1"
"EN1"	"M2"
"H3C13"	"M2"
"SCX"	"M2"
"ENSG00000271793"	"M1"
"NR5A2"	"M1"
"PLIN1"	"M1"
"FST"	"M4"
"PLEKHG4B"	"M1"
"CRTAM"	"M4"
"DKK1"	"M1"
"HS3ST2"	"M1"
"CNTN5"	"M1"
"NOXA1"	"M2"
"FGFBP2"	"Not.Correlated"
"CPZ"	"M1"
"HOOK1"	"M1"
"SLC6A7"	"M1"
"PCDHA7"	"M2"
"GLS2"	"M1"
"RRAD"	"M1"
"SLC25A48"	"M1"
"SLC22A3"	"M3"
"IQGAP3"	"M8"
"DUOX1"	"M5"
"FHIP1A"	"M1"
"ACTC1"	"M6"
"PWWP3B"	"M3"
"GJB2"	"M1"
"CXCL2"	"M1"
"H2BU1"	"M2"
"SIX3"	"M1"
"ADAMTS18"	"M1"
"HS3ST3A1"	"M1"
"MSX2"	"M6"
"TUNAR"	"M1"
"KCNA3"	"M1"
"RNF43"	"M1"
"KCNK5"	"Not.Correlated"
"DEGS2"	"M1"
"TKTL1"	"M6"
"GPR83"	"M1"
"RXRG"	"M1"
"FIGNL2"	"M2"
"CST1"	"M1"
"ENSG00000279765"	"M2"
"TACR1"	"M1"
"H2BC10"	"M2"
"SH2D5"	"M1"
"VWC2L"	"M1"
"LIME1"	"M2"
"NPHP3-ACAD11"	"M2"
"SCARA5"	"M4"
"H2BC17"	"M2"
"ENSG00000288684"	"M2"
"MAB21L1"	"M1"
"KCNH5"	"M3"
"PPP1R17"	"M6"
"ENSG00000243696"	"M2"
"HSPB7"	"M1"
"ZNF724"	"M2"
"EGF"	"M5"
"SLC5A11"	"M1"
"DLX1"	"M1"
"ANKRD20A4P"	"M2"
"ARSF"	"M1"
"MCTP2"	"M1"
