pathway_description	pvalue	hub_gene	comparison
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	0.003992015968063872	SNW1	cluster1_vs_cluster3
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	0.003992015968063872	DLG3	cluster1_vs_cluster3
REACTOME_ELASTIC_FIBRE_FORMATION	0.005988023952095809	EFEMP2	cluster1_vs_cluster3
REACTOME_G_PROTEIN_MEDIATED_EVENTS	0.005988023952095809	GNAI2	cluster1_vs_cluster3
REACTOME_INTERFERON_GAMMA_SIGNALING	0.005988023952095809	TRIM34	cluster1_vs_cluster3
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	0.005988023952095809	ITGB5	cluster1_vs_cluster3
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION	0.005988023952095809	CALM1	cluster1_vs_cluster3
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	0.005988023952095809	NSF	cluster1_vs_cluster3
REACTOME_OPIOID_SIGNALLING	0.005988023952095809	GNAI3	cluster1_vs_cluster3
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	0.005988023952095809	SLC27A5	cluster1_vs_cluster3
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION	0.005988023952095809	UBA52	cluster1_vs_cluster3
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	0.005988023952095809	SNAP25	cluster1_vs_cluster3
REACTOME_SIGNALING_BY_NOTCH	0.005988023952095809	PSMD6	cluster1_vs_cluster3
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.007984031936127744	CHRNE	cluster1_vs_cluster3
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.007984031936127744	HSP90B1	cluster1_vs_cluster3
REACTOME_DNA_REPLICATION_PRE_INITIATION	0.007984031936127744	PSMD6	cluster1_vs_cluster3
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	0.007984031936127744	UBE2A	cluster1_vs_cluster3
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.007984031936127744	SEH1L	cluster1_vs_cluster3
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.007984031936127744	SNAP25	cluster1_vs_cluster3
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING	0.007984031936127744	APOC1	cluster1_vs_cluster3
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	0.007984031936127744	LRRTM4	cluster1_vs_cluster3
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS	0.007984031936127744	RBPJ	cluster1_vs_cluster3
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS	0.007984031936127744	PSMD6	cluster1_vs_cluster3
REACTOME_SENSORY_PROCESSING_OF_SOUND	0.007984031936127744	CAPZB	cluster1_vs_cluster3
REACTOME_SIGNALING_BY_NTRK3_TRKC	0.007984031936127744	GRB2	cluster1_vs_cluster3
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.00998003992015968	PPFIA3	cluster1_vs_cluster3
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	0.00998003992015968	EIF4G2	cluster1_vs_cluster3
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.00998003992015968	HEXA	cluster1_vs_cluster3
REACTOME_DARPP_32_EVENTS	0.00998003992015968	PPP3CB	cluster1_vs_cluster3
REACTOME_DEUBIQUITINATION	0.00998003992015968	PSMD6	cluster1_vs_cluster3
REACTOME_G2_M_CHECKPOINTS	0.00998003992015968	PSMA1	cluster1_vs_cluster3
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	0.00998003992015968	SEH1L	cluster1_vs_cluster3
REACTOME_NEUREXINS_AND_NEUROLIGINS	0.00998003992015968	LRRTM4	cluster1_vs_cluster3
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	0.00998003992015968	MED6	cluster1_vs_cluster3
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	0.00998003992015968	CPSF3	cluster1_vs_cluster3
REACTOME_CHROMATIN_MODIFYING_ENZYMES	0.011976047904191617	TAF12	cluster1_vs_cluster3
REACTOME_LONG_TERM_POTENTIATION	0.011976047904191617	DLG3	cluster1_vs_cluster3
REACTOME_PI_3K_CASCADE_FGFR3	0.011976047904191617	PTPN11	cluster1_vs_cluster3
REACTOME_RHOH_GTPASE_CYCLE	0.011976047904191617	VAMP3	cluster1_vs_cluster3
REACTOME_SUMOYLATION	0.011976047904191617	HNRNPK	cluster1_vs_cluster3
REACTOME_TELOMERE_MAINTENANCE	0.011976047904191617	RPA1	cluster1_vs_cluster3
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	0.011976047904191617	PSMD6	cluster1_vs_cluster3
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	0.013972055888223553	LGALS9	cluster1_vs_cluster3
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.013972055888223553	KCNMB2	cluster1_vs_cluster3
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	0.013972055888223553	NBN	cluster1_vs_cluster3
REACTOME_PROTEIN_UBIQUITINATION	0.013972055888223553	UBE2A	cluster1_vs_cluster3
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.013972055888223553	GNAS	cluster1_vs_cluster3
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	0.013972055888223553	PTGES3	cluster1_vs_cluster3
REACTOME_SIGNALING_BY_WNT_IN_CANCER	0.013972055888223553	PPP2R5C	cluster1_vs_cluster3
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	0.013972055888223553	PSMD6	cluster1_vs_cluster3
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	0.013972055888223553	PSMD6	cluster1_vs_cluster3
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	0.013972055888223553	SEH1L	cluster1_vs_cluster3
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	0.015968063872255488	ACBD5	cluster1_vs_cluster3
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	0.015968063872255488	RFC1	cluster1_vs_cluster3
REACTOME_HOMOLOGY_DIRECTED_REPAIR	0.015968063872255488	RFC1	cluster1_vs_cluster3
REACTOME_INTERLEUKIN_7_SIGNALING	0.015968063872255488	H3C7	cluster1_vs_cluster3
REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS	0.015968063872255488	HDAC2	cluster1_vs_cluster3
REACTOME_NEURONAL_SYSTEM	0.015968063872255488	NSF	cluster1_vs_cluster3
REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER	0.015968063872255488	RPS27A	cluster1_vs_cluster3
REACTOME_VXPX_CARGO_TARGETING_TO_CILIUM	0.015968063872255488	EXOC1	cluster1_vs_cluster3
REACTOME_CHROMOSOME_MAINTENANCE	0.017964071856287425	RFC1	cluster1_vs_cluster3
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.017964071856287425	ADAM17	cluster1_vs_cluster3
REACTOME_HYALURONAN_METABOLISM	0.017964071856287425	GUSB	cluster1_vs_cluster3
REACTOME_RHO_GTPASE_EFFECTORS	0.017964071856287425	RHOA	cluster1_vs_cluster3
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	0.01996007984031936	PPP2R5C	cluster1_vs_cluster3
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	0.01996007984031936	SEH1L	cluster1_vs_cluster3
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	0.01996007984031936	AP2S1	cluster1_vs_cluster3
REACTOME_SIGNALING_BY_WNT	0.01996007984031936	PSMD6	cluster1_vs_cluster3
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	0.01996007984031936	RAE1	cluster1_vs_cluster3
REACTOME_DNA_REPLICATION	0.021956087824351298	PSMA1	cluster1_vs_cluster3
REACTOME_M_PHASE	0.021956087824351298	YWHAE	cluster1_vs_cluster3
REACTOME_REGULATION_OF_KIT_SIGNALING	0.021956087824351298	YES1	cluster1_vs_cluster3
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS	0.021956087824351298	NUP133	cluster1_vs_cluster3
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	0.023952095808383235	CSPG4	cluster1_vs_cluster3
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	0.023952095808383235	EXT2	cluster1_vs_cluster3
REACTOME_DNA_REPAIR	0.023952095808383235	PMS2	cluster1_vs_cluster3
REACTOME_MICRORNA_MIRNA_BIOGENESIS	0.023952095808383235	POLR2C	cluster1_vs_cluster3
REACTOME_MITOTIC_PROPHASE	0.023952095808383235	NUP133	cluster1_vs_cluster3
REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX	0.023952095808383235	APOC1	cluster1_vs_cluster3
REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY	0.023952095808383235	AGO2	cluster1_vs_cluster3
REACTOME_RHOQ_GTPASE_CYCLE	0.023952095808383235	VAMP3	cluster1_vs_cluster3
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.023952095808383235	SRSF1	cluster1_vs_cluster3
REACTOME_ENOS_ACTIVATION	0.02594810379241517	CALM1	cluster1_vs_cluster3
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION	0.02594810379241517	RBBP4	cluster1_vs_cluster3
REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS	0.02594810379241517	PPP2R5C	cluster1_vs_cluster3
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	0.02594810379241517	H3C7	cluster1_vs_cluster3
REACTOME_CYTOPROTECTION_BY_HMOX1	0.027944111776447105	PSMA1	cluster1_vs_cluster3
REACTOME_DNA_METHYLATION	0.027944111776447105	H3C7	cluster1_vs_cluster3
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	0.027944111776447105	LAMC1	cluster1_vs_cluster3
REACTOME_NOTCH4_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.027944111776447105	RBPJ	cluster1_vs_cluster3
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.029940119760479042	CSPG5	cluster1_vs_cluster3
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	0.029940119760479042	H3C7	cluster1_vs_cluster3
REACTOME_CELL_CYCLE_CHECKPOINTS	0.029940119760479042	PSMA1	cluster1_vs_cluster3
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.029940119760479042	CSPG5	cluster1_vs_cluster3
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.029940119760479042	SEH1L	cluster1_vs_cluster3
REACTOME_LAMININ_INTERACTIONS	0.029940119760479042	LAMC1	cluster1_vs_cluster3
REACTOME_PEPTIDE_HORMONE_METABOLISM	0.029940119760479042	SPCS2	cluster1_vs_cluster3
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.029940119760479042	ITGB1	cluster1_vs_cluster3
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.029940119760479042	MAP2K1	cluster1_vs_cluster3
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.029940119760479042	TPM4	cluster1_vs_cluster3
REACTOME_UCH_PROTEINASES	0.029940119760479042	PSMD7	cluster1_vs_cluster3
REACTOME_AMYLOID_FIBER_FORMATION	0.031936127744510975	H3C7	cluster1_vs_cluster3
REACTOME_CGMP_EFFECTS	0.031936127744510975	KCNMB2	cluster1_vs_cluster3
REACTOME_INSULIN_PROCESSING	0.031936127744510975	EXOC1	cluster1_vs_cluster3
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.031936127744510975	DPM1	cluster1_vs_cluster3
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	0.031936127744510975	H3C7	cluster1_vs_cluster3
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.033932135728542916	YWHAE	cluster1_vs_cluster3
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.033932135728542916	H3C7	cluster1_vs_cluster3
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.033932135728542916	HNF4G	cluster1_vs_cluster3
REACTOME_SYNDECAN_INTERACTIONS	0.033932135728542916	COL5A2	cluster1_vs_cluster3
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.03592814371257485	TIMP1	cluster1_vs_cluster3
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.03592814371257485	BTK	cluster1_vs_cluster3
REACTOME_CELL_JUNCTION_ORGANIZATION	0.03592814371257485	RSU1	cluster1_vs_cluster3
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.03592814371257485	SLC7A7	cluster1_vs_cluster3
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM	0.03592814371257485	SLC37A4	cluster1_vs_cluster3
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.03592814371257485	HDAC2	cluster1_vs_cluster3
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN	0.03592814371257485	RAE1	cluster1_vs_cluster3
REACTOME_RHOJ_GTPASE_CYCLE	0.03592814371257485	VAMP3	cluster1_vs_cluster3
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	0.03592814371257485	SUMO2	cluster1_vs_cluster3
REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS	0.03592814371257485	TFAM	cluster1_vs_cluster3
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.03792415169660679	RPS27A	cluster1_vs_cluster3
REACTOME_CELLULAR_SENESCENCE	0.03792415169660679	H3C7	cluster1_vs_cluster3
REACTOME_COLLAGEN_DEGRADATION	0.03792415169660679	MMP14	cluster1_vs_cluster3
REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION	0.03792415169660679	CALM1	cluster1_vs_cluster3
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS	0.03792415169660679	RAE1	cluster1_vs_cluster3
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING	0.03792415169660679	GNAS	cluster1_vs_cluster3
REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA	0.03792415169660679	MSN	cluster1_vs_cluster3
REACTOME_BASE_EXCISION_REPAIR	0.03992015968063872	H4C13	cluster1_vs_cluster3
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.03992015968063872	TACO1	cluster1_vs_cluster3
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER	0.03992015968063872	CASP9	cluster1_vs_cluster3
REACTOME_MET_PROMOTES_CELL_MOTILITY	0.03992015968063872	ITGB1	cluster1_vs_cluster3
REACTOME_RECYCLING_PATHWAY_OF_L1	0.03992015968063872	TUBA1B	cluster1_vs_cluster3
REACTOME_TRYPTOPHAN_CATABOLISM	0.03992015968063872	KYAT3	cluster1_vs_cluster3
REACTOME_HS_GAG_BIOSYNTHESIS	0.041916167664670656	EXT1	cluster1_vs_cluster3
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE	0.041916167664670656	GET1	cluster1_vs_cluster3
REACTOME_PEROXISOMAL_PROTEIN_IMPORT	0.041916167664670656	GNPAT	cluster1_vs_cluster3
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	0.041916167664670656	MED20	cluster1_vs_cluster3
REACTOME_RND1_GTPASE_CYCLE	0.041916167664670656	RBMX	cluster1_vs_cluster3
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.043912175648702596	RPS3	cluster1_vs_cluster3
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.043912175648702596	GNG10	cluster1_vs_cluster3
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0.043912175648702596	MYL6	cluster1_vs_cluster3
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	0.043912175648702596	H3C7	cluster1_vs_cluster3
REACTOME_HEME_SIGNALING	0.043912175648702596	XPO1	cluster1_vs_cluster3
REACTOME_OTHER_INTERLEUKIN_SIGNALING	0.043912175648702596	CD4	cluster1_vs_cluster3
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.043912175648702596	CSTF2T	cluster1_vs_cluster3
REACTOME_RND2_GTPASE_CYCLE	0.043912175648702596	RBMX	cluster1_vs_cluster3
REACTOME_SLC_TRANSPORTER_DISORDERS	0.043912175648702596	RAE1	cluster1_vs_cluster3
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.043912175648702596	PRKCI	cluster1_vs_cluster3
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX	0.043912175648702596	CDC16	cluster1_vs_cluster3
REACTOME_MITOCHONDRIAL_BIOGENESIS	0.04590818363273453	PRKAG1	cluster1_vs_cluster3
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	0.04590818363273453	SEH1L	cluster1_vs_cluster3
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.04790419161676647	TUBA1A	cluster1_vs_cluster3
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.04790419161676647	GNAI2	cluster1_vs_cluster3
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION	0.04790419161676647	MAPKAP1	cluster1_vs_cluster3
REACTOME_ESR_MEDIATED_SIGNALING	0.0499001996007984	PTGES3	cluster1_vs_cluster3
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	0.0499001996007984	H3C7	cluster1_vs_cluster3
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	0.0499001996007984	H3C7	cluster1_vs_cluster3
REACTOME_TBC_RABGAPS	0.0499001996007984	RAB5B	cluster1_vs_cluster3
